condition,method,param,side,n_clusters,hit,hit_low,hit_high,peak,peak_low,peak_high,covered95,covered95_low,covered95_high,error_cells,error_cells_low,error_cells_high,logloss,logloss_low,logloss_high,ece,ece_low,ece_high,gate_us_p50,gate_us_p50_low,gate_us_p50_high,gate_us_p95,gate_us_p95_low,gate_us_p95_high,utility,utility_low,utility_high
delivery_0.5_none,none,1.0,8.0,10,0.08173884546845749,0.06142314420741412,0.10265176964542895,0.09050609886461694,0.07387855589054022,0.10579933171620047,0.9723958333333332,0.9567708333333333,0.9838541666666666,2.635693580724392,2.3529747804963397,2.918632618782585,3.383105249463585,3.2527284263746954,3.5105740744589355,0.08287876706681355,0.06435072765293892,0.10389130864930908,2.2036249999999997,2.173389375,2.2411874999999997,2.7182637499999998,2.5861546250000003,2.8707366874999996,1.0,1.0,1.0
delivery_0.5_random,random,0.5,8.0,10,0.04516254958552098,0.02453979481319476,0.06628847602846337,0.052088266478905,0.041319081230262414,0.06361393641228939,0.9671875,0.9505078124999999,0.9833463541666667,3.367708308326029,3.088699803832139,3.671879192386419,3.7655264539692865,3.6580425297505093,3.8751537652693764,0.04660766107777859,0.03559963282714903,0.05968576955910479,2.1791250000000004,2.164961875,2.1994265625000007,2.6608425,2.5395702500000006,2.8475071562499994,0.4625,0.3845890410958904,0.547945205479452
delivery_0.5_bsp,bsp,0.1,8.0,10,0.05240922419034819,0.0384029541015625,0.06595399276387022,0.04650862080484813,0.04138016119821298,0.05095073031696958,0.9666666666666666,0.9421875,0.9854166666666668,2.9807253161862675,2.6723084846559075,3.2562529053674925,3.665219906810978,3.5616800743445185,3.758858367243995,0.05301579562130898,0.041104142449823876,0.0650627149802536,17.426550000000002,17.362548125,17.514478125,19.1955275,18.788181125,19.727268156250002,0.625,0.5142757936507936,0.7241663508904888
delivery_0.7_none,none,1.0,8.0,10,0.142736672369817,0.10920872876382115,0.18908318040622718,0.13002277780389468,0.1115629975833169,0.14703037354498835,0.9739583333333334,0.9604166666666666,0.9859375,2.081129543557477,1.845038619211897,2.313077966990386,3.040353817735437,2.894842107338034,3.201575709202984,0.11847735706104912,0.09431865099576794,0.14973258710466145,2.1759625,2.1560993749999997,2.19678875,2.6296925000000004,2.5646073125,2.6957863124999997,1.0,1.0,1.0
delivery_0.7_random,random,0.5,8.0,10,0.06300502756471772,0.031843257962419214,0.09968672391854916,0.07155470520341281,0.06140950957478533,0.08193285402554162,0.9640624999999998,0.946875,0.9796875,2.952756641673225,2.7269717534417635,3.1929588690120765,3.601406639751732,3.490456927460836,3.709879313537198,0.07545509889031801,0.05744040578267407,0.09711389344060935,2.227675,2.2032490625,2.2553131250000003,2.7122374999999996,2.6383082499999997,2.7858664374999997,0.4649122807017544,0.4056603773584906,0.516525974025974
delivery_0.7_bsp,bsp,0.1,8.0,10,0.07572948502037465,0.04768195258246528,0.10795063034034179,0.05811903343414652,0.05490785831885951,0.061058360683336116,0.9494791666666667,0.9223958333333332,0.9708333333333332,3.026417322378904,2.736276407842791,3.4148215146035197,3.5841881767060064,3.4458048784665185,3.7464900252057998,0.06936736769420097,0.055572236470567,0.08519816587641357,17.353150000000003,17.287499062499997,17.4298009375,18.94931,18.5841505625,19.436983687499996,0.5701754385964912,0.4272390572390572,0.6870348282442749
delivery_1.0_none,none,1.0,8.0,10,0.18801236112046465,0.13484823645715888,0.25199902753941805,0.18248450374929365,0.15569805110906754,0.20851470377510078,0.9640624999999998,0.9421744791666666,0.9817708333333333,1.8022489650773597,1.582118635411758,2.008196698657328,2.763917252576201,2.60265829560893,2.908027641321017,0.13661455356248406,0.10964383126508179,0.17091291387214994,2.302525,2.240563125,2.3660128125,2.9283262499999996,2.720836125,3.1668516874999995,1.0,1.0,1.0
delivery_1.0_random,random,0.5,8.0,10,0.09059378718472734,0.0636956550428318,0.11884964909211528,0.08553328097600646,0.070725745209816,0.10089866948262252,0.9645833333333332,0.9468619791666665,0.9802213541666666,2.8121354252819524,2.5677829761282034,3.0535383133417016,3.4466627487126376,3.3258496964621758,3.56515517284283,0.0843343149047759,0.07339956667312168,0.09836374082752615,2.36255,2.3358653125000006,2.3923015625,2.9264175,2.7937505312499997,3.1001849375000003,0.4726027397260274,0.40539296965677335,0.5419944365377151
delivery_1.0_bsp,bsp,0.1,8.0,10,0.09370681223598312,0.050540836009337925,0.14323257692658997,0.07177732473811824,0.0702448593873579,0.07343839236263988,0.9567708333333333,0.9390494791666667,0.9729296875000001,2.710926813171716,2.485123014249496,2.998388095233374,3.305571101400787,3.210267292424271,3.3934821580566856,0.08415278843708307,0.05585944278429376,0.11909999554586821,17.656725,17.4973746875,17.852030312499995,19.55164125,18.8726798125,20.33465165625,0.4863013698630137,0.35657272368939696,0.5840889095896082
willing_0.4_none,none,1.0,8.0,10,0.07002455998093654,0.05438008354895247,0.0869300645819892,0.07911608448289358,0.06892917925477178,0.08972646532821511,0.9526041666666666,0.9385416666666668,0.9651041666666668,2.8253220555321015,2.5567712269382397,3.1291980561368726,3.5018519089411377,3.3698550055154306,3.624861567550955,0.07311556233060776,0.05852107079760242,0.08902049615888577,2.2041375000000003,2.1890228125,2.2213465625,2.63783375,2.567128625,2.70861184375,1.0,1.0,1.0
willing_0.4_random,random,0.5,8.0,10,0.04547876982361622,0.018595830664266715,0.07406785968244596,0.049696731095610076,0.04034448303201677,0.06017088155468656,0.9604166666666666,0.9302083333333332,0.9833333333333332,3.3379964889963327,3.012393494673484,3.7918943608869413,3.789271814632656,3.6439177335745465,3.9178740691576674,0.056572363255133554,0.04077113069944578,0.07509832755313957,2.2146375,2.1974371875000003,2.2350225000000004,2.65403375,2.59212490625,2.7418201562499998,0.5441176470588235,0.44047619047619047,0.6667857142857141
willing_0.4_bsp,bsp,0.1,8.0,10,0.04050156876706776,0.019917489719342037,0.06550850810701885,0.05155014915605728,0.04731363747750379,0.05513401944400126,0.9640625,0.9473958333333334,0.9791796875000001,3.2227497625011416,2.819847688914925,3.6825720055082227,3.632159979911646,3.541998925444047,3.723736579751194,0.05566940944892283,0.042133404153018424,0.07192759031726752,17.308925,17.2724615625,17.346488125,18.58370375,18.4009805,18.771554937499996,0.7647058823529411,0.6785426267281106,0.8382352941176471
