hit,error_cells,peak,logloss,covered95,credible95,entropy,seed,user,scenario,condition,method,param,attack,side,prior_hit,legitimate,opportunities,complete,reports,utility,raw_completion,coverage,reward,latency_slots,gate_us_p50,gate_us_p95,cap_violations,alpha_true,alpha_model,move_model
0.024739583333333332,3.5122854216640174,0.04536620460440988,3.279520372584948,1.0,47.1875,5.454063173082676,12,1,static,static_fixed_bsp_0.05,bsp,0.05,fixed,8,0.015625,36,3,2,3,0.6666666666666666,0.05555555555555555,1.0,2,1.0,16.7295,18.16425,0,0.6480000000000001,0.6480000000000001,0
0.0013020833333333333,4.858709493061778,0.035132193033102374,4.335065346710555,1.0,60.0625,5.846496670123639,12,2,static,static_fixed_bsp_0.05,bsp,0.05,fixed,8,0.015625,36,5,2,2,0.4,0.05555555555555555,1.0,2,1.0,16.7295,17.8022,0,0.6480000000000001,0.6480000000000001,0
0.04503038194444443,3.1792001255332187,0.03767817191108547,3.4172850231632625,1.0,34.416666666666664,5.061059390261723,12,3,static,static_fixed_bsp_0.05,bsp,0.05,fixed,8,0.015625,36,3,2,2,0.6666666666666666,0.05555555555555555,1.0,2,1.0,16.479,17.71295,0,0.6480000000000001,0.6480000000000001,0
0.16701388888888888,1.7275474672272335,0.057376412327600816,2.993134278376895,1.0,44.416666666666664,5.323613808361011,10,0,static,static_fixed_bsp_0.1,bsp,0.1,fixed,8,0.015625,36,3,2,3,0.6666666666666666,0.05555555555555555,1.0,2,1.0,17.0,18.71435,0,0.6480000000000001,0.6480000000000001,0
0.09136284722222222,3.173959385404345,0.06009328540688572,2.92467825158047,1.0,27.729166666666668,4.632454348256505,10,1,static,static_fixed_bsp_0.1,bsp,0.1,fixed,8,0.015625,36,3,2,2,0.6666666666666666,0.05555555555555555,1.0,2,1.0,17.2085,21.741449999999997,0,0.6480000000000001,0.6480000000000001,0
0.056175595238095226,3.2157271068363937,0.04233162868755324,3.3598106103612326,1.0,43.0625,5.342629299911631,10,2,static,static_fixed_bsp_0.1,bsp,0.1,fixed,8,0.015625,36,2,2,2,1.0,0.05555555555555555,1.0,2,1.0,16.917,18.13345,0,0.6480000000000001,0.6480000000000001,0
0.07806299603174609,1.723132937667715,0.07806299603174609,2.5709396433924425,1.0,13.625,3.7090818739471185,10,3,static,static_fixed_bsp_0.1,bsp,0.1,fixed,8,0.015625,36,7,5,5,0.7142857142857143,0.1388888888888889,1.0,5,1.0,16.6875,18.2318,0,0.6480000000000001,0.6480000000000001,0
0.04749813988095238,2.492630582596926,0.03855453322509223,3.322773951630199,1.0,36.854166666666664,5.1776513158263455,11,0,static,static_fixed_bsp_0.1,bsp,0.1,fixed,8,0.015625,36,3,3,3,1.0,0.08333333333333333,1.0,3,1.0,16.833,17.760199999999998,0,0.6480000000000001,0.6480000000000001,0
0.0028211805555555555,5.140358437270552,0.07023736186341424,3.6969300918480053,1.0,42.541666666666664,5.268317695658119,11,1,static,static_fixed_bsp_0.1,bsp,0.1,fixed,8,0.015625,36,3,1,1,0.3333333333333333,0.027777777777777776,1.0,1,1.0,16.896,17.69155,0,0.6480000000000001,0.6480000000000001,0
0.034939236111111105,3.5553369090558413,0.03321053571364396,3.623366840555315,0.9583333333333334,42.729166666666664,5.352406929909833,11,2,static,static_fixed_bsp_0.1,bsp,0.1,fixed,8,0.015625,36,2,2,3,1.0,0.05555555555555555,1.0,2,1.0,16.75,17.4853,0,0.6480000000000001,0.6480000000000001,0
0.162109375,1.6073715362792431,0.07773437500000005,2.6814984759290437,1.0,21.0625,4.206084553374142,11,3,static,static_fixed_bsp_0.1,bsp,0.1,fixed,8,0.015625,36,6,5,5,0.8333333333333334,0.1388888888888889,1.0,5,1.0,16.7085,17.40055,0,0.6480000000000001,0.6480000000000001,0
