condition,mismatch,method,param,n_seeds,n_trajectories,robust_model_count,hit,hit_low,hit_high,peak,peak_low,peak_high,logloss,logloss_low,logloss_high,utility,utility_low,utility_high,raw_completion,raw_completion_low,raw_completion_high,gate_us_p50,gate_us_p50_low,gate_us_p50_high,attacker_local_violation_rate,attacker_local_violation_rate_low,attacker_local_violation_rate_high,attacker_absolute_violation_rate,attacker_absolute_violation_rate_low,attacker_absolute_violation_rate_high,client_violation_rate,client_violation_rate_low,client_violation_rate_high
robust_move_low_rbsp_0.05,move_low,rbsp,0.05,20,80,9,0.031140382151124336,0.021769915222490905,0.0411305687313988,0.03169784121935536,0.030692626921977446,0.032939055715571576,3.801315655005837,3.7369202256055676,3.854007055305513,0.19494584837545126,0.14538435140700068,0.25,0.018222071644920557,0.013358042506643268,0.0232734948776772,426.00238125,423.9136912500001,428.03573453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_move_low_bsp_0.1,move_low,bsp,0.1,20,80,0,0.05605100665836553,0.041336347573593196,0.0721094607232893,0.06266458583713301,0.05938503273911795,0.06618334466121163,3.4835539926029604,3.394715781962459,3.5694694112492065,0.4693140794223827,0.3951027175671304,0.5434861948587749,0.04436497382049395,0.03752959283259489,0.05098972386207269,51.64475625,51.40487421874999,51.951473593749995,0.027864583333333335,0.01953125,0.036464843749999996,0.07005208333333333,0.04686848958333333,0.09661458333333334,0.0,0.0,0.0
robust_move_low_rbsp_0.1,move_low,rbsp,0.1,20,80,9,0.03467224508429146,0.02628912814529978,0.04392625247428714,0.050590346057622596,0.04813660943920885,0.053303710005325876,3.5731888537790333,3.4915256960303465,3.6473533981627604,0.3971119133574007,0.3224616259872384,0.47213239138011154,0.03697944941868316,0.03026289890253386,0.043421407968179886,426.24339999999995,424.5659525,428.00458156250005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_move_low_bsp_0.2,move_low,bsp,0.2,20,80,0,0.07566923014133511,0.05760921885648409,0.09657356453767586,0.08694843947906968,0.08240311961877976,0.09287409370416642,3.280185537232461,3.1592754194807697,3.382216283443671,0.6101083032490975,0.5555459770114943,0.6666970802919707,0.05796621348260644,0.050893350301126614,0.06567457332080316,51.798312499999994,51.65653796875,51.9526609375,0.006510416666666667,0.003639322916666667,0.009635416666666667,0.009114583333333334,0.004166666666666667,0.015364583333333333,0.0,0.0,0.0
robust_move_low_rbsp_0.2,move_low,rbsp,0.2,20,80,9,0.07271784125244621,0.0509459284324121,0.09838342697777355,0.07470019285479115,0.07051281944754041,0.07918091419463086,3.343258269367861,3.237193951226963,3.439727273577092,0.555956678700361,0.48619201190771516,0.6237038821755998,0.05274092808504553,0.045803224884309136,0.06001449349567326,429.21605625,427.3048601562501,431.45494562500005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_move_low_bsp_0.4,move_low,bsp,0.4,20,80,0,0.11168253118638585,0.09017273085346934,0.13578235517552287,0.11170834222277488,0.10584965429999033,0.11851723584550194,3.1645200301278154,3.0614453391177507,3.278083421684068,0.7581227436823105,0.7228019105984139,0.794377857505715,0.07192022604126207,0.0655192682485846,0.0789290668032961,51.535843750000005,51.398014218750006,51.6855659375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_move_low_rbsp_0.4,move_low,rbsp,0.4,20,80,9,0.09615518743638583,0.07087873209670628,0.12757613002815424,0.10533127126666772,0.09911925322522752,0.11366817831501798,3.196055398263775,3.091658982059143,3.290535023059714,0.7184115523465704,0.6892637163561076,0.75,0.06827726364820527,0.06179179328604336,0.07521506172767521,426.36670625,424.2461551562499,428.47116390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_move_high_bsp_0.05,move_high,bsp,0.05,20,80,0,0.0506630291005291,0.038735167488219244,0.06403911965990822,0.04904429992221005,0.04803509009921862,0.05013703849721709,3.644999230656002,3.5499890784152823,3.7570639300980284,0.35018050541516244,0.2862060508554387,0.4095617670456003,0.032982249360533455,0.026803412315229952,0.03885776959396587,51.5746875,51.42285546875,51.729172031249995,0.15677083333333333,0.1453125,0.16796875,0.5049479166666667,0.46900390625,0.5414127604166666,0.0,0.0,0.0
robust_move_high_rbsp_0.05,move_high,rbsp,0.05,20,80,9,0.031140382151124336,0.021769915222490905,0.0411305687313988,0.03169784121935536,0.030692626921977446,0.032939055715571576,3.801315655005837,3.7369202256055676,3.854007055305513,0.19494584837545126,0.14538435140700068,0.25,0.018222071644920557,0.013358042506643268,0.0232734948776772,424.9212625,423.2337703125,427.0825943750001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_move_high_bsp_0.1,move_high,bsp,0.1,20,80,0,0.07978581568614332,0.06278858061688675,0.09855710302391171,0.08410767316891968,0.08100005660791909,0.08735315904608507,3.3615499297661104,3.255140977621214,3.4676321912127404,0.5523465703971119,0.49274681268388365,0.6021703036053131,0.051866585754783624,0.04455033292807776,0.05834073271528245,51.37259375,51.143708593750006,51.62572578125,0.14583333333333334,0.13410807291666668,0.15755208333333334,0.35833333333333334,0.3223828125,0.39323567708333335,0.0,0.0,0.0
robust_move_high_rbsp_0.1,move_high,rbsp,0.1,20,80,9,0.03467224508429146,0.02628912814529978,0.04392625247428714,0.050590346057622596,0.04813660943920885,0.053303710005325876,3.5731888537790333,3.4915256960303465,3.6473533981627604,0.3971119133574007,0.3224616259872384,0.47213239138011154,0.03697944941868316,0.03026289890253386,0.043421407968179886,423.61608749999994,421.6748,425.54071890625005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_move_high_bsp_0.2,move_high,bsp,0.2,20,80,0,0.12124214680800179,0.09868788264475441,0.14801180097969455,0.11659121351877957,0.11064976353861371,0.12423180113065448,3.1501275032305145,3.0294829398252983,3.2576454331769753,0.7545126353790613,0.7148008237497985,0.7956989247311828,0.0717319990761737,0.06440426199309487,0.07996789821165376,51.198725,51.060637656249995,51.3340021875,0.084375,0.07057291666666667,0.1015625,0.15104166666666666,0.12604166666666666,0.17943359374999998,0.0,0.0,0.0
robust_move_high_rbsp_0.2,move_high,rbsp,0.2,20,80,9,0.07271784125244621,0.0509459284324121,0.09838342697777355,0.07470019285479115,0.07051281944754041,0.07918091419463086,3.343258269367861,3.237193951226963,3.439727273577092,0.555956678700361,0.48619201190771516,0.6237038821755998,0.05274092808504553,0.045803224884309136,0.06001449349567326,425.35755625,423.61304765625005,426.95656906249997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_move_high_bsp_0.4,move_high,bsp,0.4,20,80,0,0.13468817354749696,0.10900833946267617,0.16315810953804535,0.1380812428251123,0.12910117153508446,0.14858902028528556,3.0106444404437136,2.898857692656765,3.1142669869567072,0.924187725631769,0.8996536691843088,0.9522102591036414,0.08763883278570254,0.07921132922602792,0.09641150273023821,51.0541875,50.881235,51.243084062499996,0.029166666666666667,0.020833333333333332,0.03958984374999999,0.03723958333333333,0.026028645833333336,0.05156901041666666,0.0,0.0,0.0
robust_move_high_rbsp_0.4,move_high,rbsp,0.4,20,80,9,0.09615518743638583,0.07087873209670628,0.12757613002815424,0.10533127126666772,0.09911925322522752,0.11366817831501798,3.196055398263775,3.091658982059143,3.290535023059714,0.7184115523465704,0.6892637163561076,0.75,0.06827726364820527,0.06179179328604336,0.07521506172767521,423.93575625000005,421.78581578125,425.84539468750006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
