condition,scenario,method,param,attack,side,n_clusters,n_trajectories,cap_violations,hit,hit_low,hit_high,error_cells,error_cells_low,error_cells_high,error_m,error_m_low,error_m_high,peak,peak_low,peak_high,logloss,logloss_low,logloss_high,covered95,covered95_low,covered95_high,credible95,credible95_low,credible95_high,entropy,entropy_low,entropy_high,prior_hit,prior_hit_low,prior_hit_high,raw_completion,raw_completion_low,raw_completion_high,coverage,coverage_low,coverage_high,reward,reward_low,reward_high,latency_slots,latency_slots_low,latency_slots_high,gate_us_p50,gate_us_p50_low,gate_us_p50_high,gate_us_p95,gate_us_p95_low,gate_us_p95_high,ece,ece_low,ece_high,utility,utility_low,utility_high
walk_adaptive_random_0.15,walk,random,0.15,adaptive,8.0,20,80,0.0,0.037054524924539395,0.01849439863635986,0.05598368528814976,3.527219084172908,3.201321465799131,3.8629929427107594,3527.2190841729084,3201.3214657991316,3862.992942710759,0.03807379915613459,0.031937210107009235,0.045146227395675545,3.832279133197763,3.7429603455536715,3.916965859709274,0.9677083333333332,0.95703125,0.9786458333333332,50.26770833333333,48.268841145833335,52.38666015625001,5.592373701256139,5.502888633903024,5.6817454546538,0.015625,0.015625,0.015625,0.01815626477239839,0.012033665133398654,0.024638683015552113,0.2495138888888889,0.1747829861111111,0.3183385416666667,0.65,0.4375,0.875,1.0,1.0,1.0,2.12059375,2.1078623437499995,2.1362382812499994,2.4743325,2.4247462187499997,2.540547796875,0.04557681983808269,0.03394061928465006,0.05717645503262741,0.18571428571428572,0.13702020202020201,0.23052752166951912
walk_adaptive_random_0.3,walk,random,0.3,adaptive,8.0,20,80,0.0,0.049751688259650394,0.031111764120109627,0.06993438787943301,3.256550054765306,2.9924223139500965,3.51523206801278,3256.5500547653055,2992.422313950097,3515.23206801278,0.05483056838689489,0.04641743972154461,0.06456181437899078,3.706946178039197,3.5993118172708667,3.805534455412501,0.9515624999999999,0.93203125,0.9692708333333332,44.5109375,42.22968098958333,46.94289713541667,5.342990476870944,5.226660366740261,5.457513820672963,0.015625,0.015625,0.015625,0.03221131277547823,0.025817708792785214,0.03872824831697837,0.4132638888888889,0.338734375,0.4898020833333332,1.1625,0.925,1.4,1.0,1.0,1.0,2.1271625,2.1193584375000003,2.13488203125,2.5054925,2.4729860625,2.5392478124999993,0.062269019235843395,0.05057164095012182,0.07579700550796617,0.33214285714285713,0.2762211668928087,0.38780018031308905
walk_adaptive_random_0.5,walk,random,0.5,adaptive,8.0,20,80,0.0,0.07869040483381194,0.05729555937553613,0.10016746989996544,2.8034174262101828,2.6068813589803272,3.002619709766261,2803.4174262101833,2606.881358980328,3002.619709766261,0.07887688693449935,0.07077689629773305,0.0878652353416551,3.5121024320044705,3.3954762561993013,3.6231353825605033,0.9432291666666666,0.9213411458333335,0.9617252604166666,38.53125000000001,36.690071614583324,40.35983072916666,5.033808631617197,4.94023131215278,5.127914630410107,0.015625,0.015625,0.015625,0.04743666272026317,0.03972991942563352,0.05484858085615077,0.5880555555555556,0.5155555555555555,0.667519097222222,1.7,1.425,1.9628124999999996,1.0,1.0,1.0,2.120325,2.1146748437499996,2.1252375,2.5828406249999993,2.4667421875,2.7715110625,0.07598852347948401,0.06551444739248406,0.08588256525327052,0.4857142857142857,0.4323339731932377,0.5454713183495471
walk_adaptive_random_0.7,walk,random,0.7,adaptive,8.0,20,80,0.0,0.08837880960034171,0.06208475625726896,0.11649614129211268,2.5895482617185666,2.391896942834735,2.7975762416179277,2589.548261718567,2391.896942834736,2797.576241617928,0.10153106729193517,0.09082528271155303,0.11294049505724374,3.3585803824826073,3.2407708472974597,3.4786364392766878,0.9520833333333334,0.9330729166666668,0.9708333333333332,34.01510416666666,31.91220703125,36.079889322916664,4.780795548692194,4.666227114514676,4.8947349988551565,0.015625,0.015625,0.015625,0.06470927630413091,0.0546267054065742,0.07432289394686437,0.7620138888888889,0.6942083333333333,0.8348020833333333,2.3125,1.95,2.65,1.0,1.0,1.0,2.1201250000000003,2.1120746875,2.1276376562499997,2.4726399999999997,2.435862375,2.5193601875,0.09266457926865349,0.07893950925437618,0.10802228629812843,0.6607142857142857,0.610894534620582,0.7192464539007092
walk_adaptive_rate_2,walk,rate,2.0,adaptive,8.0,20,80,0.0,0.10607614009932391,0.08132841795551866,0.13305333396618993,2.675725576182644,2.452897478973327,2.9430545360233293,2675.7255761826445,2452.897478973328,2943.0545360233295,0.09286605452171272,0.08270447324945915,0.10322580488458856,3.353851047647622,3.223346606158192,3.496394991996186,0.9447916666666668,0.9166536458333333,0.9703125,35.10729166666666,32.961406249999996,37.303841145833324,4.852458630747668,4.7264423018828525,4.969667395823502,0.015625,0.015625,0.015625,0.0552867510548373,0.045269872974455,0.065186498361638,0.6572222222222222,0.5789427083333333,0.7404253472222222,1.975,1.6125,2.3375,1.0,1.0,1.0,2.19860625,2.18428703125,2.2173001562500003,2.577191875,2.524198359375,2.63827959375,0.10160181424754736,0.08606364893584258,0.11748680976402437,0.5642857142857143,0.5036111367766177,0.6250101791530944
walk_adaptive_rate_4,walk,rate,4.0,adaptive,8.0,20,80,0.0,0.05762520299099164,0.04198076183165887,0.07390947330488312,3.2689373129137693,3.044766066478283,3.5248825440659615,3268.937312913769,3044.7660664782825,3524.8825440659607,0.056953794661464476,0.0492888403865163,0.06489816705712766,3.693025981848737,3.59288616769978,3.7908028103311793,0.95,0.9291601562500001,0.96875,43.666927083333334,41.57942057291667,45.66541015625,5.301929375803772,5.199347739272302,5.3996424794947995,0.015625,0.015625,0.015625,0.02640451697369111,0.02176424771610054,0.03128840871522377,0.3669444444444444,0.3010850694444444,0.429265625,0.9375,0.775,1.1125,1.0,1.0,1.0,2.3164249999999997,2.2835562499999997,2.3453740624999995,2.7608812499999997,2.6979871562499995,2.82729059375,0.06491250455183932,0.05204032409910955,0.07919335121722397,0.26785714285714285,0.233201581027668,0.30345135467980294
walk_adaptive_rate_8,walk,rate,8.0,adaptive,8.0,20,80,0.0,0.030926710254214805,0.01971723244706164,0.04358724463179928,4.149378606910185,3.900970908482227,4.402302325131259,4149.378606910183,3900.970908482227,4402.30232513126,0.036636776484113634,0.030155861528414346,0.04495018052359098,3.9282546052159004,3.8443922826864037,4.012815717035497,0.9591145833333332,0.93462890625,0.98125,51.20338541666666,48.81212239583333,53.498613281249995,5.64007604046131,5.529821026298189,5.741829038798336,0.015625,0.015625,0.015625,0.013017332492249475,0.00856603210923064,0.017716882953318552,0.17041666666666666,0.11311458333333334,0.2294010416666666,0.4625,0.3125,0.625,1.0,1.0,1.0,2.3014812500000006,2.224612499999999,2.40338265625,3.49076125,2.6908033125000004,4.788036171874999,0.043716242009403314,0.03370980259953699,0.054519768815094634,0.13214285714285715,0.09652160766618598,0.16944834740588025
walk_adaptive_coarse_2,walk,coarse,2.0,adaptive,8.0,20,80,0.0,0.09285780540176922,0.07470126618086297,0.11208822478569695,2.3683822472803833,2.2164780809576476,2.5277505256619337,2368.382247280383,2216.478080957648,2527.7505256619334,0.1048031972703904,0.09787065344384391,0.11191761563849897,3.1651457407165164,3.059030197806425,3.273687428792082,0.9614583333333334,0.9458333333333334,0.9742187499999998,30.313020833333333,28.731692708333338,32.04048828125,4.573016334149796,4.4788475971026545,4.666647401016447,0.015625,0.015625,0.015625,0.05140251402503537,0.042782602840077184,0.059841597093298636,0.5982638888888889,0.5125694444444445,0.6797690972222222,1.8375,1.5375,2.1375,1.0,1.0,1.0,2.1712937500000002,2.1609309375,2.1811249999999998,2.561943125,2.5180775625000003,2.614288640625,0.09760146073329046,0.08433577073646628,0.11148625873187902,0.525,0.456587998700382,0.5948211209408961
walk_adaptive_coarse_4,walk,coarse,4.0,adaptive,8.0,20,80,0.0,0.04690747578398378,0.028394751507302987,0.07104855093655836,2.735321265999455,2.585282326713374,2.870329007084261,2735.321265999455,2585.2823267133754,2870.329007084262,0.06705750327792258,0.06404219217603087,0.07016187060534276,3.3763603083623885,3.297540101329604,3.448578381482762,0.95390625,0.9351562500000001,0.9705794270833332,32.56171875,31.2919921875,33.87012369791666,4.861879011102063,4.803998144946716,4.918221707388608,0.015625,0.015625,0.015625,0.01775417513404322,0.014320556846076369,0.021693395129958666,0.2656944444444444,0.20907812499999998,0.3304218749999999,0.6375,0.5,0.7875,1.0,1.0,1.0,2.15724375,2.1455618749999994,2.1702932812499998,2.5876912499999998,2.54091953125,2.6407505625,0.07334239135779179,0.05877641541637373,0.09180328399428633,0.18214285714285713,0.1443548282313809,0.224276065763384
walk_adaptive_bsp_0.05,walk,bsp,0.05,adaptive,8.0,20,80,0.0,0.03795670314566799,0.02684259330305473,0.052131222679501495,3.3187066193136117,3.0939093958404356,3.54421980949904,3318.706619313611,3093.909395840435,3544.219809499039,0.04023890810667743,0.03975028503278109,0.04074170190883067,3.677324486127702,3.598336574925125,3.7604180948611847,0.9533854166666667,0.9288997395833335,0.9760416666666666,40.23046875,39.440279947916665,41.03336588541667,5.314523262158977,5.289325326392869,5.339064393445916,0.015625,0.015625,0.015625,0.02920458780080242,0.02279624689369326,0.03649274599776701,0.3938888888888889,0.3133958333333334,0.4802482638888888,1.0625,0.825,1.325,1.0,1.0,1.0,16.55285,16.51924265625,16.58747015625,17.55803625,17.472177953125,17.659125375,0.03931909115691062,0.031367631711064145,0.04886258583282044,0.30357142857142855,0.2473108504398827,0.36288837744533947
