hit,error_cells,peak,logloss,covered95,credible95,entropy,ece,error_m,seed,user,scenario,condition,method,param,attack,side,prior_hit,legitimate,opportunities,complete,reports,utility,raw_completion,coverage,reward,latency_slots,gate_us_p50,gate_us_p95,cap_violations,attacker_local_cap_violations,attacker_absolute_cap_violations,robust_model_count,alpha_true,alpha_model,move_model
0.0059244791666666664,3.013037527307615,0.040638119249544455,3.6895913271481713,1.0,47.958333333333336,5.533595352399356,0.034713640082877785,3013.0375273076133,4007,0,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,34,2,1,2,0.5,0.029411764705882353,0.5,1,1.0,40.881,53.151349999999994,0,0,0,0,0.5,0.648,0.3
0.0008463541666666667,3.0351751920970025,0.053068266217510034,3.4569888174217236,1.0,42.645833333333336,5.326340516681713,0.052221912050843367,3035.175192097003,4007,1,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,39,7,4,6,0.5714285714285714,0.10256410256410256,0.5,4,1.0,40.736000000000004,46.415,0,0,0,0,0.5,0.648,0.3
0.063671875,2.626310387865781,0.0632522457510155,3.8974524353640434,0.75,33.333333333333336,4.95023113044225,0.0004196292489845044,2626.3103878657835,4007,2,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,34,6,2,8,0.3333333333333333,0.058823529411764705,0.5,2,1.0,40.615,46.20165,0,0,0,0,0.5,0.648,0.3
0.04348958333333333,3.4602192704033374,0.049971545770040225,3.834239287623708,0.9375,41.458333333333336,5.233822208705173,0.006481962436706891,3460.219270403338,4007,3,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,36,2,0,3,0.0,0.0,0.0,0,1.0,40.69,55.36084999999999,0,0,0,0,0.5,0.648,0.3
0.0023654513888888887,2.83324365101855,0.04249711889256382,3.6416936771887713,0.9791666666666666,46.729166666666664,5.446327244609139,0.04013166750367493,2833.243651018549,4008,0,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,36,3,2,3,0.6666666666666666,0.05555555555555555,1.0,2,1.0,40.700500000000005,52.236099999999986,0,0,0,0,0.5,0.648,0.3
0.003472222222222222,4.47259045493587,0.07178840350262895,3.714414149014631,0.9375,33.3125,4.879864481263436,0.06831618128040674,4472.590454935869,4008,1,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,39,5,2,4,0.4,0.05128205128205128,0.3333333333333333,2,1.0,40.209500000000006,45.51745,0,0,0,0,0.5,0.648,0.3
0.0020616319444444445,3.295738247093725,0.05011244697860481,3.308598565064001,1.0,45.770833333333336,5.3683901788194,0.048050815034160366,3295.738247093724,4008,2,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,41,3,0,3,0.0,0.0,0.0,0,1.0,40.485,48.46845,0,0,0,0,0.5,0.648,0.3
0.0033420138888888887,5.9141488332157826,0.04288366017272192,4.916678701140243,0.6041666666666666,51.020833333333336,5.586906187045099,0.03954164628383303,5914.148833215774,4008,3,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,36,4,2,3,0.5,0.05555555555555555,1.0,2,1.0,41.4165,57.77345,0,0,0,0,0.5,0.648,0.3
0.0003255208333333333,2.761607772733645,0.06943699580292165,3.487574435931759,1.0,31.791666666666668,4.907446909289696,0.06911147496958832,2761.6077727336447,4009,0,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,37,2,2,5,1.0,0.05405405405405406,1.0,2,1.0,41.281,58.59315,0,0,0,0,0.5,0.648,0.3
0.027307581018518517,2.443402851085848,0.07991193307898704,2.8741467204209243,0.9791666666666666,26.125,4.592562941434939,0.05260435206046854,2443.4028510858475,4009,1,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,34,6,5,10,0.8333333333333334,0.14705882352941177,1.0,5,1.0,41.261,58.953799999999994,0,6,13,0,0.5,0.648,0.3
